                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.69498,                 0.7329,                0.42931,                0.91333,                0.98603,                      1,                0.98762,                0.80203,                0.98603,                      1,                0.98762,                0.82446,                0.69988,                0.87533,                0.41719,                0.75049,              0.0012575,              0.0012575,              0.0012575
                     78,                0.71582,                0.77812,                0.44295,                0.91737,                0.98612,                      1,                0.99209,                0.81913,                0.98612,                      1,                0.99209,                0.83834,                0.66103,                0.83857,                0.40053,                0.72892,              0.0012476,              0.0012476,              0.0012476
                     79,                0.70172,                 0.7509,                0.43326,                0.91685,                0.98625,                      1,                0.99284,                0.81844,                0.98625,                      1,                0.99284,                0.82824,                0.70006,                0.91638,                0.41561,                0.73742,              0.0012377,              0.0012377,              0.0012377
                     80,                0.70973,                  0.733,                0.44162,                0.92301,                0.98726,                      1,                0.99216,                0.82829,                0.98726,                      1,                0.99216,                0.83469,                0.67372,                0.88292,                0.43111,                0.74168,              0.0012278,              0.0012278,              0.0012278
                     81,                 0.6929,                0.75671,                0.44122,                0.91792,                  0.991,                      1,                0.99331,                 0.8265,                  0.991,                      1,                0.99331,                 0.8433,                0.66738,                0.85024,                0.39514,                0.73272,              0.0012179,              0.0012179,              0.0012179
                     82,                0.72146,                0.76809,                0.44945,                0.91954,                0.98879,                      1,                0.99088,                0.82216,                0.98879,                      1,                0.99088,                0.81149,                0.69232,                0.89942,                0.42382,                0.73188,               0.001208,               0.001208,               0.001208
                     83,                0.70865,                0.75358,                0.44023,                 0.9135,                0.98529,                      1,                 0.9908,                0.83047,                0.98529,                      1,                 0.9908,                0.83871,                0.66013,                0.85647,                0.39379,                0.73075,              0.0011981,              0.0011981,              0.0011981
                     84,                0.71485,                0.76975,                0.43201,                0.92092,                0.98543,                      1,                0.99128,                0.81914,                0.98543,                      1,                0.99128,                0.82935,                 0.6976,                0.92035,                0.42517,                0.75703,              0.0011882,              0.0011882,              0.0011882
                     85,                0.70089,                0.75356,                0.43234,                 0.9136,                0.99035,                      1,                0.99108,                0.84221,                0.99035,                      1,                0.99108,                0.83921,                0.66006,                0.85844,                0.40229,                0.74897,              0.0011783,              0.0011783,              0.0011783
                     86,                  0.711,                0.76607,                0.43923,                0.91348,                0.98799,                      1,                0.99135,                0.83353,                0.98799,                      1,                0.99135,                0.83952,                0.67228,                0.84994,                0.39804,                0.73555,              0.0011684,              0.0011684,              0.0011684
                     87,                0.69248,                0.75349,                0.42891,                0.91232,                0.98583,                      1,                0.98996,                0.82671,                0.98583,                      1,                0.98996,                0.81241,                0.66024,                0.92186,                0.42378,                0.72939,              0.0011585,              0.0011585,              0.0011585
                     88,                0.72212,                0.74415,                0.44098,                0.93128,                 0.9863,                      1,                 0.9925,                0.83976,                 0.9863,                      1,                 0.9925,                0.83817,                 0.6213,                 0.8562,                0.40834,                0.71938,              0.0011486,              0.0011486,              0.0011486
                     89,                0.68999,                0.74612,                0.44054,                0.90847,                0.98642,                      1,                0.99446,                0.84868,                0.98642,                      1,                0.99446,                0.82598,                0.62572,                0.91099,                0.39908,                0.72254,              0.0011387,              0.0011387,              0.0011387
                     90,                0.69249,                0.76737,                0.42928,                0.91249,                0.98635,                      1,                0.99014,                0.81749,                0.98635,                      1,                0.99014,                0.83055,                0.70565,                0.87141,                 0.4039,                0.73631,              0.0011288,              0.0011288,              0.0011288
                     91,                0.68322,                0.75563,                0.42792,                0.91127,                0.98578,                      1,                0.99022,                 0.8207,                0.98578,                      1,                0.99022,                0.82495,                 0.6617,                0.89087,                0.38274,                0.72517,              0.0011189,              0.0011189,              0.0011189
                     92,                0.67338,                0.74659,                0.42514,                0.90906,                0.98561,                      1,                0.99209,                0.83725,                0.98561,                      1,                0.99209,                0.82392,                0.62597,                0.93606,                0.39652,                0.72191,               0.001109,               0.001109,               0.001109
                     93,                0.66079,                0.75067,                0.41204,                0.91194,                0.99048,                      1,                 0.9923,                0.85422,                0.99048,                      1,                 0.9923,                0.84208,                0.64963,                0.92552,                0.36439,                0.74044,              0.0010991,              0.0010991,              0.0010991
                     94,                0.65534,                0.71305,                0.40009,                0.90097,                 0.9893,                      1,                0.99149,                0.82878,                 0.9893,                      1,                0.99149,                 0.8274,                0.63276,                0.88993,                0.38765,                0.73329,              0.0010892,              0.0010892,              0.0010892
                     95,                0.67993,                0.73503,                0.41731,                 0.9117,                0.98603,                      1,                0.99281,                0.83692,                0.98603,                      1,                0.99281,                0.83239,                 0.6082,                0.87075,                0.38487,                 0.7141,              0.0010793,              0.0010793,              0.0010793
                     96,                0.65335,                0.73379,                0.41212,                0.90784,                0.98602,                      1,                0.99153,                0.84266,                0.98602,                      1,                0.99153,                0.84221,                0.65138,                0.89762,                 0.3764,                0.72761,              0.0010694,              0.0010694,              0.0010694
                     97,                0.66388,                0.73045,                 0.4052,                0.90993,                0.98574,                      1,                0.99228,                0.85959,                0.98574,                      1,                0.99228,                0.85451,                0.60754,                 0.8699,                0.36787,                0.71492,              0.0010595,              0.0010595,              0.0010595
                     98,                0.66547,                0.76368,                0.40404,                0.89908,                0.99079,                      1,                0.99365,                0.86031,                0.99079,                      1,                0.99365,                0.85731,                0.62868,                0.89091,                0.37263,                0.72161,              0.0010496,              0.0010496,              0.0010496
                     99,                0.65527,                0.74353,                0.40401,                 0.9022,                0.99195,                      1,                0.99412,                0.86489,                0.99195,                      1,                0.99412,                0.85285,                0.60227,                0.85647,                0.36044,                 0.7153,              0.0010397,              0.0010397,              0.0010397
                    100,                0.65678,                0.76107,                0.40628,                0.90729,                0.98606,                      1,                0.99295,                0.84829,                0.98606,                      1,                0.99295,                0.83482,                0.61231,                0.88085,                0.37079,                0.71986,              0.0010298,              0.0010298,              0.0010298
                    101,                0.64331,                0.73537,                0.39854,                  0.896,                0.98607,                      1,                0.99066,                0.84311,                0.98607,                      1,                0.99066,                0.84283,                0.62639,                0.83191,                 0.3649,                0.71559,              0.0010199,              0.0010199,              0.0010199
                    102,                0.67288,                0.75738,                0.41901,                0.91352,                0.98915,                      1,                0.99122,                0.85445,                0.98915,                      1,                0.99122,                0.84193,                0.60213,                0.82663,                0.35678,                0.71765,                0.00101,                0.00101,                0.00101
                    103,                 0.6674,                0.73626,                0.40668,                0.90917,                0.98942,                      1,                0.99351,                0.82547,                0.98942,                      1,                0.99351,                0.83688,                0.65511,                 0.8543,                0.36953,                0.72488,              0.0010001,              0.0010001,              0.0010001
                    104,                0.66609,                0.75791,                0.39989,                 0.9126,                0.98755,                      1,                0.99351,                0.84416,                0.98755,                      1,                0.99351,                0.84257,                 0.6212,                0.83271,                0.37118,                 0.7198,              0.0009902,              0.0009902,              0.0009902
                    105,                0.65361,                0.75661,                0.40111,                0.90873,                0.99107,                      1,                0.99297,                0.85495,                0.99107,                      1,                0.99297,                0.83996,                0.62116,                0.86175,                 0.3547,                0.72045,              0.0009803,              0.0009803,              0.0009803
                    106,                0.64794,                0.70184,                0.38876,                0.89879,                0.99134,                      1,                0.99101,                0.86422,                0.99134,                      1,                0.99101,                0.84193,                0.59869,                 0.8585,                0.37354,                0.72546,              0.0009704,              0.0009704,              0.0009704
                    107,                0.65833,                0.72478,                0.40648,                0.90179,                0.98608,                      1,                 0.9913,                0.85268,                0.98608,                      1,                 0.9913,                 0.8381,                0.60657,                0.88024,                0.36607,                0.71521,              0.0009605,              0.0009605,              0.0009605
                    108,                0.65552,                0.74408,                0.40418,                0.91197,                0.99163,                      1,                0.99243,                0.85291,                0.99163,                      1,                0.99243,                0.84667,                0.61052,                0.86244,                0.36208,                0.71944,              0.0009506,              0.0009506,              0.0009506
                    109,                0.63728,                0.72165,                0.38592,                0.90815,                0.99115,                      1,                0.99101,                0.85231,                0.99115,                      1,                0.99101,                0.84046,                0.59901,                0.88232,                0.36253,                0.71048,              0.0009407,              0.0009407,              0.0009407
