SegmentedFilename,FishDetected,ScaleDetected,FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio
2024-05-23_10_26_34_(13056)_sardine_input_(1).png,yes,yes,17.0,3.0,17.0,15.0,1.0,0.036855036855036855,40.0,53.0,0.17647058823529413,1.025369978858351,0.12754557291666666
2024-05-23_10_26_34_(13056)_sardine_input_(2).png,yes,yes,17.0,3.0,17.0,15.0,1.0,0.036855036855036855,41.0,44.0,0.17647058823529413,1.0212314225053079,0.10721516927083333
2024-05-23_10_26_49_(13057)_sardine_input_(0).png,yes,yes,17.0,6.0,18.0,15.0,2.0,0.0379746835443038,42.0,47.0,0.35294117647058826,1.0714285714285714,0.1075390625
2024-05-23_10_26_49_(13057)_sardine_input_(1).png,yes,yes,16.0,3.0,16.0,15.0,2.0,0.0379746835443038,37.0,47.0,0.1875,1.0253456221198156,0.10780110677083334
2024-05-23_10_26_49_(13057)_sardine_input_(2).png,yes,yes,16.0,3.0,16.0,15.0,2.0,0.0379746835443038,38.0,43.0,0.1875,1.0205479452054795,0.09791666666666667
2024-05-23_10_27_01_(13058)_sardine_input_(0).png,yes,yes,16.0,4.0,17.0,15.0,2.0,0.03740648379052369,39.0,48.0,0.25,1.0311804008908685,0.11196126302083333
2024-05-23_10_27_01_(13058)_sardine_input_(1).png,yes,yes,16.0,3.0,16.0,15.0,2.0,0.03740648379052369,37.0,47.0,0.1875,1.025229357798165,0.10942057291666667
2024-05-23_10_27_01_(13058)_sardine_input_(2).png,yes,yes,17.0,4.0,18.0,15.0,2.0,0.03740648379052369,41.0,56.0,0.23529411764705882,1.0271398747390397,0.13125651041666667
2024-05-28_09_38_58_(13185)_sardine_input_(0).png,yes,yes,16.0,4.0,17.0,15.0,2.0,0.03416856492027335,40.0,55.0,0.25,1.0418410041841004,0.1555078125
2024-05-28_09_38_58_(13185)_sardine_input_(1).png,yes,yes,16.0,5.0,17.0,15.0,2.0,0.03416856492027335,40.0,38.0,0.3125,1.0459290187891441,0.10700520833333334
2024-05-28_09_38_58_(13185)_sardine_input_(2).png,yes,yes,15.0,4.0,15.0,15.0,2.0,0.03416856492027335,38.0,32.0,0.26666666666666666,1.0337078651685394,0.09117838541666666
2024-05-28_09_39_49_(13186)_sardine_input_(0).png,yes,yes,17.0,5.0,18.0,15.0,1.0,0.0375,46.0,52.0,0.29411764705882354,1.048016701461378,0.12265299479166666
2024-05-28_09_39_49_(13186)_sardine_input_(1).png,yes,yes,15.0,3.0,16.0,15.0,1.0,0.0375,37.0,44.0,0.2,1.0261282660332542,0.10185384114583333
2024-05-28_09_39_49_(13186)_sardine_input_(2).png,yes,yes,17.0,3.0,18.0,15.0,1.0,0.0375,44.0,46.0,0.17647058823529413,1.0208768267223383,0.10862467447916667
2024-05-28_09_40_23_(13188)_sardine_input_(0).png,yes,yes,12.0,3.0,12.0,15.0,1.0,0.03184713375796178,29.0,24.0,0.25,1.0287958115183247,0.07940592447916667
2024-05-28_09_40_23_(13188)_sardine_input_(1).png,yes,yes,15.0,3.0,15.0,15.0,1.0,0.03184713375796178,35.0,35.0,0.2,1.0273109243697478,0.115
2024-05-28_09_40_23_(13188)_sardine_input_(2).png,yes,yes,13.0,3.0,13.0,15.0,1.0,0.03184713375796178,32.0,27.0,0.23076923076923078,1.0258823529411765,0.08937337239583333
2024-05-28_09_40_38_(13189)_sardine_input_(0).png,yes,yes,14.0,3.0,14.0,15.0,1.0,0.032397408207343416,33.0,39.0,0.21428571428571427,1.0293453724604966,0.12220703125
2024-05-28_09_40_38_(13189)_sardine_input_(1).png,yes,yes,15.0,3.0,15.0,15.0,1.0,0.032397408207343416,34.0,40.0,0.2,1.025531914893617,0.12694661458333334
2024-05-28_09_40_38_(13189)_sardine_input_(2).png,yes,yes,14.0,4.0,15.0,15.0,1.0,0.032397408207343416,34.0,46.0,0.2857142857142857,1.0348583877995643,0.14414713541666666
2024-05-28_09_40_51_(13190)_sardine_input_(0).png,yes,yes,15.0,3.0,15.0,15.0,1.0,0.031914893617021274,34.0,44.0,0.2,1.0271398747390397,0.14305501302083334
2024-05-28_09_40_51_(13190)_sardine_input_(1).png,yes,yes,13.0,2.0,13.0,15.0,1.0,0.031914893617021274,32.0,30.0,0.15384615384615385,1.0234192037470726,0.0967529296875
2024-05-28_09_40_51_(13190)_sardine_input_(2).png,yes,yes,13.0,3.0,13.0,15.0,1.0,0.031914893617021274,32.0,32.0,0.23076923076923078,1.0283687943262412,0.10490397135416667
