SegmentedFilename,FishDetected,FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,ScaleDetected
20240919091140232_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,1.0,0.00446162998215348,44.0,48.0,0.23529411764705882,1.0342535787321063,0.19304017225901285,yes
20240919091149648_sardine_good_(0).png,yes,16.0,4.0,17.0,15.0,3.0,0.004111842105263158,39.0,44.0,0.25,1.0394995093228656,0.210980494817098,yes
20240919091158802_sardine_good_(0).png,yes,16.0,4.0,16.0,15.0,2.0,0.004132231404958678,42.0,47.0,0.25,1.0303182159859685,0.22283450762430826,yes
20240919091208402_sardine_good_(0).png,yes,16.0,4.0,17.0,15.0,2.0,0.004061738424045491,43.0,46.0,0.25,1.0394221351616062,0.22454309463500977,yes
20240919091219387_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,1.0,0.004480286738351254,44.0,49.0,0.2222222222222222,1.0242468772961058,0.19777588049570718,yes
20240919091228726_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,2.0,0.004225352112676056,38.0,42.0,0.1875,1.024258064516129,0.18988009293874106,yes
20240919091240969_sardine_good_(0).png,yes,18.0,5.0,19.0,15.0,2.0,0.004953764861294584,47.0,58.0,0.2777777777777778,1.042853340431195,0.18946325778961182,yes
20240919091257894_sardine_good_(0).png,yes,18.0,4.0,19.0,15.0,2.0,0.0048512289780077615,47.0,59.0,0.2222222222222222,1.0286006128702758,0.20060900847117105,yes
20240919091306519_sardine_good_(0).png,yes,17.0,4.0,17.0,15.0,2.0,0.004511278195488722,43.0,50.0,0.23529411764705882,1.0388067581837381,0.19719485441843668,yes
20240919091315185_sardine_good_(0).png,yes,16.0,5.0,17.0,15.0,2.0,0.004491017964071856,43.0,47.0,0.3125,1.0487417218543047,0.18668981393178305,yes
20240919091404536_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,2.0,0.0043302540415704385,39.0,47.0,0.17647058823529413,1.0264698396538559,0.20227189858754477,yes
20240919091405090_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,2.0,0.0043302540415704385,39.0,47.0,0.17647058823529413,1.0264698396538559,0.20227189858754477,yes
20240919091406422_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,2.0,0.0043302540415704385,39.0,47.0,0.17647058823529413,1.0264698396538559,0.20227189858754477,yes
20240919091446529_sardine_good_(0).png,yes,16.0,4.0,17.0,15.0,2.0,0.004324012683770539,43.0,49.0,0.25,1.0295767465578787,0.21119113763173422,yes
20240919091644178_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,3.0,0.004725897920604915,44.0,50.0,0.2222222222222222,1.0332208668569947,0.18789145833333334,yes
20240919091702444_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,2.0,0.004631058968817536,39.0,46.0,0.1875,1.0284836637810668,0.18258558333333333,yes
20240919091714451_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,2.0,0.004351610095735422,40.0,43.0,0.17647058823529413,1.0185185185185186,0.19346825,yes
20240919091724607_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,2.0,0.0043541364296081275,40.0,42.0,0.1875,1.0229249011857708,0.18533304166666667,yes
20240919091740372_sardine_good_(0).png,yes,15.0,3.0,16.0,15.0,2.0,0.004196978175713486,37.0,42.0,0.2,1.025369978858351,0.19936825,yes
20240919091751719_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,2.0,0.0045139933794763765,40.0,46.0,0.1875,1.0291806958473626,0.19035366666666667,yes
20240919091802664_sardine_good_(0).png,yes,18.0,3.0,18.0,15.0,2.0,0.004766444232602479,45.0,50.0,0.16666666666666666,1.022861546365271,0.18580241666666666,yes
20240919091813890_sardine_good_(0).png,yes,17.0,4.0,17.0,15.0,1.0,0.004724409448818898,43.0,47.0,0.23529411764705882,1.0284541723666212,0.17693979166666668,yes
20240919091826731_sardine_good_(0).png,yes,17.0,4.0,17.0,15.0,1.0,0.004667081518357187,43.0,48.0,0.23529411764705882,1.03911518748314,0.18696641666666666,yes
20240919091841579_sardine_good_(0).png,yes,16.0,4.0,16.0,15.0,3.0,0.0042893909064912784,38.0,43.0,0.25,1.0341450502911593,0.19607829166666665,yes
20240919091855897_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,1.0,0.00492772667542707,46.0,58.0,0.23529411764705882,1.0326779285516476,0.19908320833333334,yes
20240919091919535_sardine_good_(0).png,yes,15.0,4.0,16.0,15.0,2.0,0.0044143613890523835,36.0,47.0,0.26666666666666666,1.035774647887324,0.20522283333333333,yes
20240919091920720_sardine_good_(0).png,yes,15.0,4.0,16.0,15.0,2.0,0.0044143613890523835,36.0,47.0,0.26666666666666666,1.035774647887324,0.20522283333333333,yes
20240919091931659_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,1.0,0.0048543689320388345,45.0,50.0,0.2222222222222222,1.0238221281101112,0.180078,yes
20240919091940306_sardine_good_(0).png,yes,15.0,3.0,15.0,15.0,2.0,0.004311583788444955,37.0,39.0,0.2,1.0296254891000558,0.176872125,yes
20240919092022294_sardine_good_(0).png,yes,18.0,4.0,19.0,15.0,2.0,0.008192244675040962,46.0,46.0,0.2222222222222222,1.0308234258036106,0.11676582057114784,yes
20240919092104092_sardine_good_(0).png,yes,19.0,4.0,19.0,15.0,1.0,0.010699001426533523,48.0,46.0,0.21052631578947367,1.0251396648044693,0.06753570675274467,yes
20240919092123984_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,1.0,0.0052173913043478265,45.0,43.0,0.2222222222222222,1.0253416856492028,0.13253125,yes
20240919092146041_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,1.0,0.0044964028776978415,41.0,43.0,0.17647058823529413,1.0189125295508275,0.17746325,yes
20240919092158230_sardine_good_(0).png,yes,15.0,4.0,16.0,15.0,3.0,0.004751346214760849,39.0,39.0,0.26666666666666666,1.042181379933715,0.14476229166666665,yes
20240919092208439_sardine_good_(0).png,yes,18.0,3.0,18.0,15.0,1.0,0.004906771344455349,43.0,50.0,0.16666666666666666,1.0231355470876429,0.17490170833333332,yes
20240919092219676_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,1.0,0.004526252263126132,45.0,51.0,0.2222222222222222,1.025281602002503,0.21093829166666667,yes
20240919092233000_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,2.0,0.0050200803212851405,46.0,51.0,0.23529411764705882,1.0304054054054055,0.171684625,yes
20240919092251185_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,1.0,0.004758883248730965,45.0,48.0,0.2222222222222222,1.024795568451596,0.17908895833333333,yes
20240919092301043_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,2.0,0.004865390853065196,42.0,45.0,0.1875,1.0262096774193548,0.16028666666666666,yes
20240919092313305_sardine_good_(0).png,yes,17.0,4.0,17.0,15.0,1.0,0.004718464926077383,41.0,47.0,0.23529411764705882,1.029044516829533,0.17599133333333333,yes
20240919092326600_sardine_good_(0).png,yes,18.0,5.0,19.0,15.0,1.0,0.005263157894736842,46.0,53.0,0.2777777777777778,1.0380555555555555,0.16034404166666666,yes
20240919092337754_sardine_good_(0).png,yes,18.0,5.0,19.0,15.0,1.0,0.005172413793103448,47.0,61.0,0.2777777777777778,1.0418978912319645,0.19031204166666665,yes
20240919092352754_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,2.0,0.0044603033006244425,39.0,49.0,0.1875,1.0263435194942043,0.2081345,yes
20240919092414336_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,1.0,0.004655493482309125,39.0,43.0,0.1875,1.0240963855421688,0.168507,yes
20240919092424475_sardine_good_(0).png,yes,15.0,3.0,16.0,15.0,2.0,0.004411764705882353,39.0,44.0,0.2,1.0280898876404494,0.19074995833333333,yes
20240919092436644_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,1.0,0.004686035613870665,42.0,39.0,0.1875,1.0221729490022173,0.151507625,yes
20240919092500557_sardine_good_(0).png,yes,18.0,3.0,18.0,15.0,2.0,0.004512635379061372,43.0,47.0,0.16666666666666666,1.0235529942370334,0.194052375,yes
20240919092516845_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,1.0,0.004622496147919877,44.0,54.0,0.2222222222222222,1.0319529652351738,0.21100579166666666,yes
