                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.97484,                 1.9694,                0.72878,                 1.0452,                0.80905,                0.82853,                0.84383,                0.62783,                 0.5453,                0.52127,                0.46898,                0.30907,                0.94294,                 1.7419,                0.78191,                 1.1209,              0.0076735,              0.0076735,              0.0076735
                     49,                0.96972,                 2.0165,                0.72398,                 1.0432,                0.85034,                0.82325,                 0.8625,                0.64289,                 0.5466,                0.49256,                0.47313,                0.30797,                0.96236,                 1.7623,                0.77663,                 1.1117,               0.007624,               0.007624,               0.007624
                     50,                0.98261,                 1.9956,                0.72953,                 1.0513,                 0.8297,                0.81723,                0.85337,                0.63026,                0.54075,                0.52264,                0.48527,                0.30948,                0.95222,                 1.7822,                0.81751,                 1.1326,              0.0075745,              0.0075745,              0.0075745
                     51,                0.98376,                 1.9674,                0.72844,                 1.0555,                0.81754,                0.82906,                0.84751,                0.62227,                0.56546,                0.50115,                0.46663,                0.29429,                0.97317,                 1.7889,                0.82387,                 1.1216,               0.007525,               0.007525,               0.007525
                     52,                0.96916,                 1.9845,                0.71664,                 1.0412,                 0.8341,                0.82207,                0.85549,                0.63174,                0.54049,                0.50154,                0.46878,                0.29929,                0.97366,                 1.6999,                 0.8334,                 1.1379,              0.0074755,              0.0074755,              0.0074755
                     53,                0.96159,                 1.9931,                0.71541,                 1.0429,                0.80536,                0.77862,                0.81134,                0.59389,                0.51852,                0.44426,                0.41653,                0.25771,                 1.0156,                 1.7936,                0.88127,                 1.1838,               0.007426,               0.007426,               0.007426
                     54,                0.97469,                 1.9647,                0.72021,                  1.044,                0.78937,                0.84211,                 0.8475,                 0.6279,                0.50805,                0.51674,                0.45594,                 0.2889,                 0.9283,                 1.7407,                0.82675,                 1.1204,              0.0073765,              0.0073765,              0.0073765
                     55,                0.96731,                 2.0153,                0.70945,                 1.0444,                0.73782,                 0.7928,                0.79779,                0.60044,                0.44257,                0.47928,                0.41043,                0.26136,                 0.9716,                 1.7729,                0.87437,                 1.1407,               0.007327,               0.007327,               0.007327
                     56,                0.96231,                 1.9629,                0.70456,                 1.0392,                0.81749,                0.84732,                0.86134,                0.64732,                0.52864,                0.49089,                0.47277,                 0.3128,                 0.9479,                 1.7675,                0.77851,                 1.1028,              0.0072775,              0.0072775,              0.0072775
                     57,                 0.9569,                 1.9339,                0.70613,                 1.0362,                0.81632,                0.83229,                0.84745,                0.62822,                0.53205,                0.51728,                0.47178,                 0.3026,                0.96795,                 1.7983,                0.80187,                 1.1213,               0.007228,               0.007228,               0.007228
                     58,                0.95003,                 1.9473,                0.69618,                  1.039,                 0.7817,                0.84722,                0.85413,                 0.6425,                0.46894,                0.49102,                0.43044,                0.28515,                0.95528,                 1.7754,                0.78837,                 1.1107,              0.0071785,              0.0071785,              0.0071785
                     59,                0.94942,                 2.0005,                0.69293,                 1.0387,                0.77809,                0.80515,                0.81695,                0.61029,                 0.4919,                0.47837,                0.42002,                0.26689,                0.96168,                 1.7874,                0.80935,                 1.1373,               0.007129,               0.007129,               0.007129
                     60,                0.94881,                 1.9548,                0.69805,                 1.0385,                0.83966,                0.80645,                0.84251,                0.62823,                0.55478,                0.49129,                0.46145,                0.29479,                0.99042,                  1.769,                0.81156,                 1.1402,              0.0070795,              0.0070795,              0.0070795
                     61,                0.95742,                 1.9622,                0.69492,                 1.0378,                0.82885,                0.83152,                0.86162,                0.63863,                0.54475,                0.51275,                0.47973,                0.30706,                0.93686,                  1.733,                 0.7935,                  1.089,                0.00703,                0.00703,                0.00703
                     62,                 0.9501,                  1.934,                 0.6929,                 1.0357,                0.78332,                0.84503,                0.85385,                0.63116,                0.49707,                0.52501,                0.46191,                0.28913,                0.98594,                 1.7402,                0.77922,                 1.1239,              0.0069805,              0.0069805,              0.0069805
                     63,                0.95009,                 1.9817,                 0.6886,                 1.0343,                0.84647,                0.82384,                0.86327,                0.64191,                0.53776,                0.49282,                0.45027,                 0.2785,                0.96776,                  1.791,                0.79071,                 1.1415,               0.006931,               0.006931,               0.006931
                     64,                0.93879,                  1.941,                0.68324,                 1.0374,                0.80771,                0.83896,                0.85949,                0.64409,                0.53574,                0.51999,                0.48213,                0.30849,                 0.9382,                  1.736,                0.78823,                 1.1003,              0.0068815,              0.0068815,              0.0068815
                     65,                0.94574,                 1.9642,                0.68665,                 1.0359,                0.80088,                0.84523,                0.84906,                0.63179,                0.50312,                0.50188,                0.44972,                0.29208,                0.95244,                 1.7133,                0.76315,                 1.1206,               0.006832,               0.006832,               0.006832
                     66,                0.93728,                 1.9853,                0.67535,                 1.0282,                0.80017,                0.83621,                 0.8559,                0.63752,                0.52753,                0.51286,                 0.4829,                0.30912,                0.92817,                 1.7322,                0.79282,                  1.093,              0.0067825,              0.0067825,              0.0067825
                     67,                0.92642,                 1.9347,                0.67543,                 1.0258,                0.79529,                0.82485,                0.84036,                0.63053,                0.53119,                0.51362,                0.45459,                0.29381,                0.93167,                 1.7525,                0.77115,                 1.1078,               0.006733,               0.006733,               0.006733
                     68,                0.92685,                 1.9514,                 0.6653,                 1.0321,                0.81805,                0.83577,                 0.8503,                0.64683,                0.52124,                0.51218,                0.45784,                0.29954,                0.93832,                 1.7703,                0.75517,                 1.1134,              0.0066835,              0.0066835,              0.0066835
                     69,                0.94363,                 1.9254,                0.67874,                 1.0362,                0.82407,                0.81028,                0.84841,                0.64423,                0.52033,                0.49761,                0.45818,                0.30055,                0.95061,                 1.7329,                0.76031,                 1.1246,               0.006634,               0.006634,               0.006634
                     70,                 0.9327,                 1.9453,                0.66486,                 1.0309,                0.83328,                0.80646,                 0.8481,                0.64238,                0.52012,                0.49826,                0.46091,                0.30148,                0.94662,                 1.7421,                 0.7481,                 1.1159,              0.0065845,              0.0065845,              0.0065845
                     71,                0.94573,                 1.9848,                0.67109,                 1.0324,                0.81184,                0.85006,                0.86309,                0.64699,                0.52275,                0.52065,                0.46199,                0.30075,                0.94141,                 1.7478,                0.79188,                 1.1165,               0.006535,               0.006535,               0.006535
                     72,                0.93198,                 1.9324,                0.66367,                 1.0285,                0.82531,                0.82287,                0.84264,                0.63984,                0.52466,                0.50588,                0.45454,                0.29457,                 0.9357,                 1.7445,                0.76655,                  1.116,              0.0064855,              0.0064855,              0.0064855
                     73,                0.92772,                 1.9022,                0.66429,                 1.0229,                0.87278,                0.79909,                0.86104,                0.64169,                0.56815,                0.48241,                0.47077,                 0.2998,                0.95332,                 1.7467,                0.76903,                 1.1162,               0.006436,               0.006436,               0.006436
                     74,                0.93147,                 1.9671,                0.66567,                 1.0266,                0.82184,                0.84534,                0.86576,                0.65117,                0.54738,                0.52962,                 0.4828,                0.31601,                0.91165,                 1.7434,                0.75781,                 1.0947,              0.0063865,              0.0063865,              0.0063865
                     75,                0.91293,                 1.9202,                0.65748,                 1.0207,                0.83127,                0.82838,                0.86902,                0.65484,                0.53456,                0.49549,                0.46739,                0.30122,                0.92646,                 1.7705,                0.74176,                 1.0964,               0.006337,               0.006337,               0.006337
                     76,                0.91638,                 1.9403,                0.64455,                 1.0211,                0.80419,                0.84473,                0.85361,                0.64466,                 0.4946,                0.50407,                0.44945,                0.29826,                0.90504,                  1.775,                0.74368,                 1.0926,              0.0062875,              0.0062875,              0.0062875
